分项,Subentry,sentr,X
划付,Pay,pay,X
划付书,Pay Letter,pltr,X
划拨,Transfer,tfr,X
划拨书,Transfer Letter,tfrlt,X
列,Column,clmn,X
列表,List,lst,X
创建,Create,crt,X
初分,Initial,ini,X
初始化,Initial,init,X
初级,Primary,prm,X
删除,Delete,del,X
判定,Determine,detrmin,X
判断,Judge,jdg,X
利息,Interest,int,X
利润,Profit,pft,X
利润率,Profit Margin,pftmgn,X
利率,Interest Rate,intrate,X
到位,reach,rch,X
到期,At Term,atm,X
到期日,Maturity,mat,X
到期账龄,Expire Date,exdt,X
前,Bf,bf,X
前后,Before And Behind,bfbh,X
前缀,Prefix,pre,X
剔除,remove,rmv,X
剥离,Peel Off,off,X
剩余,Remain,remain,X
办公,Office,office,X
办妥,Done,done,X
功能,Function,function,X
加,Add,add,X
加工,Process,proc,X
加强,Intensify,intnsf,X
加急,Urgent,urg,X
加权,Weight,wght,X
动产,Chattel,chtl,X
动户,Transaction,trans,X
动户文件,Changed File,cfile,X
包,package,pkg,X
化解,defuse,dfs,X
北,North,north,X
匹配,Match,match,X
区域,Area,area,X
区间,Period,prid,X
医疗,medical,mdcl,X
十,Ten,ten,X
十三级,Level13,lvl13,X
十二,Twelve,twlv,X
协定,Negotiation,ng,X
协议,Agreement,agrm,X
单位,Unit,unit,X
单户,Single Door,sdr,X
单据,Bill,bill,X
单笔,Single Stroke,sstrk,X
卖出价,Selling_Rate,selling_rate,X
南,South,south,X
占比,Percentage,pct,X
占用,Take,tak,X
占领,Occupancy,ocupy,X
卡,Card,crd,X
卡片,Card,card,X
印刷,Print,print,X
印章,Seal,seal,X
即期,Sight,sight,X
历史,History,hist,X
压减,Press,ps,X
压缩,Compress,cmpr,X
原,Former,frmr,X
原因,Reason,rsn,X
原始,Origin,orig,X
原币,Original Currency,origccy,X
去年,lastYear,lstYr,X
参与,Join,join,X
参加,Join,join,X
参数,Parameter,para,X
参照,Reference,refr,X
参考,Reference,ref,X
及,And,and,X
及时,In Time,in_time,X
及格,Pass,pass,X
反,Inverse,inver,X
反洗钱,AML,AML,X
反馈,Feedback,fdbak,X
反馈意见,Feedback,fdbak,X
发出,Issued,Issued,X
发动机,Engine,eng,X
发卡,Issue,isu,X
发展,Development,dvlp,X
发展商,Developer,dvpr,X
发放,Provide,prvd,X
发现,Find,find,X
发生,Happened,hpnd,X
发票,Invoice,invc,X
发薪,Pay,pay,X
发行,Publish,publ,X
发起,Start,start,X
发送,send,snd,X
取消,Cancel,cancel,X
取现,Draw Money,draw_money,X
取舍进位,Round,rnd,X
受保物,Insurant Material,insmtr,X
受理,Admissible,amis,X
受益人,Beneficiary,bnfy,X
变动,Change,chng,X
变化,Change,chng,X
变更,Change,chng,X
变现,Liquidation,liqdt,X
叙做,Dealing,dlg,X
口径,Caliber,clbr,X
另行,Next time,nxttm,X
可信度,Reliability,reliab,X
可支配,Governable,gvnbl,X
可用,Available,avl,X
可疑,Shadiness,shad,X
号,Identifier,id,X
号码,Number,no,X
合作,Cooperate,cprt,X
合作方,Copartner,cpn,X
合同,Contract,ctr,X
合并,Merge,merge,X
合格证,Certificate Of Conformity,cctf,X
合约,Agreement,agrm,X
合计,Summation,sum,X
同业,Same Trade,smtrd,X
同城,Same City,smct,X
同意,Agree,agr,X
同期,same term,st,X
名义,Nominal,nmnl,X
名单,List,lst,X
名称,Name,nm,X
后,Af,af,X
后台,background,bg,X
后缀,Postfix,pstfix,X
后评价,Appraised,apprsed,X
否,No,no,X
否决,Rejected,Rejected,X
含,With,with,X
启用,Open,opn,X
呆坏账,bad debts,bddt,X
呆滞,Idle Loans,idln,X
呆账,Bad Loans,bln,X
员,er,er,X
员工,Staff,staff,X
周,Week,Week,X
周均,WeekAvg,WeekAvg,X
周期,Cycle,cyc,X
品种,Variety,vrty,X
商业,Business,bsn,X
商品,Commodity,cmdt,X
商户,Merchant,mcht,X
商铺,Store,str,X
回归,Original,orig,X
回报,Return,retrn,X
回拨,Return,ret,X
回收,Reclaim,rclm,X
回笼,Withdrawal From Circulation,wdfrcirl,X
回购,Buyback,bbck,X
回退,Back,back,X
因子,Gene,gene,X
因素,Factor,ftor,X
团队,Team,team,X
困难,Difficultly,difcut,X
固定,Fixed,fix,X
国债,National Debt,ndebt,X
国内,Domestic,dmst,X
国内生产总值,Gross Domestic Product,gdp,X
国家,Country,cty,X
国有,State,state,X
国有四行,State Commercial Bank,stcmcbnk,X
国标,Gb,GB,X
国民,National,nat,X
国民保险号,,,X
国税,National Tax,ntax,X
国籍,nationality,nationality,X
国际,International,itnl,X
国际贸易,International Trade,intertrd,X
图,Graph,graph,X
图片,picture,pic,X
图纸,Blueprint,blupt,X
圈存,Point Pay,point_pay,X
土地,Earth,eth,X
在,At,at,X
在建,Building,bldg,X
地,Position,postn,X
地上,Overground,ovgnd,X
地下,Underground,undgnd,X
地位,Status,status,X
地区,Region,rgon,X
地址,Address,adr,X
地市 行号,Level 2 Bank Number,levl2_bankno,X
地方,Local,lcl,X
地点,Place,plc,X
地理位置,Location,lctn,X
地税,Local Tax,ltax,X
场所,Place,plc,X
坐落,Sit,sit,X
型号,Model,mdl,X
垫卡,Underlay Card,underlaycrd,X
垫款,Advance In Cash,aic,X
城市,City,city,X
基准,Base,base,X
基差,basic,bsc,X
基数,Base Number,bsnbr,X
基期,Term,term,X
基本,Basic,bsc,X
基础,Basic,bsc,X
填报,Fill,fill,X
填表,Fill,fill,X
填表员,Filler,filler,X
墙壁,Wall,wall,X
增值税,Value-Added Tax,VAT,X
增加,Add,add,X
增拨,add,add,X
增量,Incrt,incrt,X
增长,grow,grw,X
壁垒,Bulwark,bulwk,X
声明,Claims,claims,X
处理,Deal With,dlwth,X
处罚,Punishment,punishment,X
处置,Treatment,trt,X
备份,Backup,bckup,X
备注,Remark,rmk,X
备用,Standby,stby,X
复核,Check,chk,X
复议,Reconsider,reconsider,X
外,Outside,outsd,X
外币,Foreign Currency,fccy,X
外方,Foreign,fgn,X
外汇,Foregin Exchange,forexc,X
外贸,Foreign Trade,frgntrd,X
外部,Exterior,ext,X
大,Big,big,X
大专,Junior College,juniorclg,X
大事记,Big Event,bigevt,X
大小,Size,size,X
大类,Class,class,X
大行,Bigger Bank,bgbnk,X
